# 生成工具 https://github.com/whitewatercn/rimetool
# 生成时间 2025-02-18_11-10-12
---
'yi'xing'hu'xi'shuai'jie Ⅰ型呼吸衰竭
'xiong'dao'guan'geng'zu 胸导管梗阻
'xiong'dao'guan'sun'shang 胸导管损伤
'xiong'gu'liang'xing'zhong'liu 胸骨良性肿瘤
'xiong'gu'pang'ge'shan 胸骨旁膈疝
'xiong'kuo'nei'fei'gu'ding'xing'da'qi'dao'zu'se 胸廓内非固定性大气道阻塞
'xiong'kuo'wai'fei'gu'ding'xing'da'qi'dao'zu'se 胸廓外非固定性大气道阻塞
'xiong'kuo'wai'shang 胸廓外伤
'xiong'men'bian'yi'xing'xiao'chuan 胸闷变异性哮喘
'xiong'mo'ban'ban'shi'mian'chen'zhuo'bing 胸膜斑伴石棉沉着病
'xiong'mo'bi'ceng'e'xing'zhong'liu 胸膜壁层恶性肿瘤
'xiong'mo'bing'bian 胸膜病变
'xiong'mo'gai'hua 胸膜钙化
'xiong'mo'ji'bing 胸膜疾病
'xiong'mo'ji'qiu'you'bing 胸膜棘球蚴病
'xiong'mo'jian'pi'liu 胸膜间皮瘤
'xiong'mo'jiao'jie'xing'zhong'liu 胸膜交界性肿瘤
'xiong'mo'jie'he'liu 胸膜结核瘤
'xiong'mo'liang'xing'zhong'liu 胸膜良性肿瘤
'xiong'mo'qiang'ji'ye 胸膜腔积液
'xiong'mo'xian'wei'yang'zeng'sheng 胸膜纤维样增生
'xiong'mo'xing'zhong'liu 胸膜性肿瘤
'xiong'mo'yan 胸膜炎
'xiong'mo'yan'ban'ji'ye 胸膜炎伴积液
'xiong'mo'zeng'hou 胸膜增厚
'xiong'mo'zhan'lian 胸膜粘连
'xiong'mo'zhi'fang'liu 胸膜脂肪瘤
'xiong'nei'ji'fa'e'xing'zhong'liu 胸内继发恶性肿瘤
'xiong'nei'lin'ba'jie'ji'fa'e'xing'zhong'liu 胸内淋巴结继发恶性肿瘤
'xiong'nei'lin'ba'jie'jie'he 胸内淋巴结结核
'xiong'qiang'gan'ran 胸腔感染
'xiong'qiang'ji'ye 胸腔积液
'xiong'qiang'jiao'jie'xing'zhong'liu 胸腔交界性肿瘤
'xiong'qiang'lou'chu'ye 胸腔漏出液
'xiong'qiang'nei'qi'guan'de'liang'xing'zhong'liu 胸腔内器官的良性肿瘤
'xiong'qiang'shao'shang 胸腔烧伤
'xiong'qiang'zhan'wei'xing'bing'bian 胸腔占位性病变
'xiong'qiang'zhi'fang'liu 胸腔脂肪瘤
'xiong'suo'guan'jie'tuo'wei 胸锁关节脱位
'xiong'xian'ai 胸腺癌
'xiong'xian'lin'ba'guan'liu 胸腺淋巴管瘤
'xiong'xian'liu 胸腺瘤
'xiong'xian'nang'zhong 胸腺囊肿
'xue'guan'yan'fei'sun'hai 血管炎肺损害
'xue'guan'yun'dong'xing'bi'yan 血管运动性鼻炎
'xue'hong'dan'bai'bing 血红蛋白病
'xue'liu'gan'ran 血流感染
'xue'xing'bo'san'xing'fei'jie'he 血行播散型肺结核
'xue'xing'xiong'shui 血性胸水
'xue'xiong 血胸
'xue'ye'xing'que'yang 血液性缺氧
'xun'huan'xing'que'yang 循环性缺氧
'ya'po'xing'fei'bu'zhang 压迫性肺不张
'ya'ji'xing'ke'sou 亚急性咳嗽
'ya'ji'xing'su'li'xing'fei'jie'he 亚急性粟粒性肺结核
'ya'ji'xing'xue'xing'bo'san'xing'fei'jie'he 亚急性血行播散型肺结核
'ya'ji'xing'yao'wu'xing'fei'ji'bing 亚急性药物性肺疾病
'ya'ma'fei 亚麻肺
'yan'cao'yi'lai 烟草依赖
'yan'zhong'ji'xing'hu'xi'zong'he'zheng 严重急性呼吸综合征
'yan'zheng'xing'sun'hui'fei 炎症性损毁肺
'yan'yan 咽炎
'yang'shui'shuan'se 羊水栓塞
'yang'shi'zong'he'zheng 杨氏综合征
'yao'wu'he'du'wu'xiang'guan'xing'fei'dong'mai'gao'ya 药物和毒物相关性肺动脉高压
'yao'wu'xing'bi'yan 药物性鼻炎
'yao'wu'xing'fei'ji'bing 药物性肺疾病
'yao'wu'xing'fei'sun'shang 药物性肺损伤
'yao'wu'xing'jian'zhi'xing'fei'ji'bing 药物性间质性肺疾病
'yao'wu'xing'jian'zhi'xing'fei'yan 药物性间质性肺炎
'yao'wu'xing'xiao'chuan 药物性哮喘
'yao'wu'xing'zhi'qi'guan'xiao'chuan 药物性支气管哮喘
'ye'jian'ji'ye 叶间积液
'ye'wo'lin'ba'jie'yan 腋窝淋巴结炎
'ye'qi'xiong 液气胸
'ye'wo'e'xing'zhong'liu 腋窝恶性肿瘤
'yi'yang'hua'tan'mi'san'liang'xia'jiang 一氧化碳弥散量下降
'yi'yang'hua'tan'zhong'du 一氧化碳中毒
'yi'yuan'xing'qi'xiong 医源性气胸
'yi'yuan'huo'de'xing'fei'yan 医院获得性肺炎
'yi'chuan'xing'chu'xue'xing'mao'xi'xue'guan'kuo'zhang'zheng 遗传性出血性毛细血管扩张症
'yi'chuan'xing'fei'dong'mai'gao'ya 遗传性肺动脉高压
'yi'xing'liu'gan'bing'du'fei'yan 乙型流感病毒肺炎
'yin'gou'gan'jun'xing'fei'yan 阴沟杆菌性肺炎
'yin'qiu'jun'fei'yan 隐球菌肺炎
'yin'yuan'xing'ji'hua'xing'fei'yan 隐源性机化性肺炎
'ying'ji'xing'gao'xue'tang 应激性高血糖
'ying'ji'xing'kui'yang 应激性溃疡
'ying'er'chuan'xi'xing'zhi'qi'guan'fei'yan 婴儿喘息性支气管肺炎
'ying'er'zhi'qi'guan'fei'yan 婴儿支气管肺炎
'ying'er'zhi'qi'guan'yan 婴儿支气管炎
'ying'wu're'fei'yan 鹦鹉热肺炎
'you'fei'e'xing'zhong'liu 右肺恶性肿瘤
'you'zhu'zhi'qi'guan'e'xing'zhong'liu 右主支气管恶性肿瘤
'yu'xue'xing'que'yang 淤血性缺氧
'yu'shi'fei 鱼食肺
'yuan'fa'xing'fei'jie'he 原发型肺结核
'yuan'fa'xing'fei'pao'di'tong'qi'zong'he'zheng 原发性肺泡低通气综合征
'yuan'fa'xing'gao'na'xue'zheng 原发性高钠血症
'yuan'fa'xing'xian'mao'yun'dong'bu'liang'zheng 原发性纤毛运动不良症
'yuan'fa'xing'zhi'qi'guan'dian'fen'yang'bian 原发性支气管淀粉样变
'yuan'fa'xing'zhi'qi'guan'fei'ai 原发性支气管肺癌
'yuan'fa'xing'zhi'qi'guan'fei'dian'fen'yang'bian 原发性支气管肺淀粉样变
'yuan'fa'xing'zong'ge'lin'ba'liu 原发性纵隔淋巴瘤
'yue'jing'qi'zhi'qi'guan'xiao'chuan 月经期支气管哮喘
'yue'jing'qi'zhi'qi'guan'xiao'chuan 月经期支气管哮喘
'yue'jing'xing'qi'xiong 月经性气胸
'yun'xu'xing'gao'tan'suan'xue'zheng 允许性高碳酸血症
'yun'dong'xing'xiao'chuan 运动性哮喘
'zang'xiong'mo'e'xing'zhong'liu 脏胸膜恶性肿瘤
'zao'xing'fei'qi'zhong 灶性肺气肿
'zeng'zhi'xing'fei'jie'he 增殖性肺结核
'zhan'lian'xing'fei'bu'zhang 粘连性肺不张
'zhang'li'xing'qi'xiong 张力性气胸
'zhe'chen'chen'zhuo'bing 蔗尘沉着病
'zhen'jun'xing'fei'yan 真菌性肺炎
'zheng'chang'fei'rong'ji'hu'xi'shuai'jie 正常肺容积呼吸衰竭
'zheng'chang'rong'liang'xing'gao'na'xue'zheng 正常容量性高钠血症
'zhi'guan'dan'guan'lou 支管胆管瘘
'zhi'qi'guan'bai'xue'xing'gan'jun'bai'ri'hai 支气管败血性杆菌百日咳
'zhi'qi'guan'dian'fen'yang'bian 支气管淀粉样变
'zhi'qi'guan'dong'mai'po'lie 支气管动脉破裂
'zhi'qi'guan'fei'fa'yu'bu'liang 支气管肺发育不良
'zhi'qi'guan'fei'zhen'jun'bing 支气管-肺真菌病
'zhi'qi'guan'feng'du 支气管封堵
'zhi'qi'guan'gai'hua 支气管钙化
'zhi'qi'guan'hua'nong'xing'rou'ya'zhong 支气管化脓性肉芽肿
'zhi'qi'guan'ji'fei'zhi'fang'liu 支气管及肺脂肪瘤
'zhi'qi'guan'ji'fa'e'xing'zhong'liu 支气管继发恶性肿瘤
'zhi'qi'guan'jiao'jie'xing'zhong'liu 支气管交界性肿瘤
'zhi'qi'guan'jie'shi 支气管结石
'zhi'qi'guan'kui'yang 支气管溃疡
'zhi'qi'guan'kuo'zhang'he'bing'ka'xie 支气管扩张合并咯血
'zhi'qi'guan'kuo'zhang'zheng 支气管扩张症
'zhi'qi'guan'liang'xing'zhong'liu 支气管良性肿瘤
'zhi'qi'guan'lin'ba'jie'ji'fa'e'xing'zhong'liu 支气管淋巴结继发恶性肿瘤
'zhi'qi'guan'lin'ba'jie'jie'he 支气管淋巴结结核
'zhi'qi'guan'lou 支气管瘘
'zhi'qi'guan'nang'zhong 支气管囊肿
'zhi'qi'guan'nei'chu'xue 支气管内出血
'zhi'qi'guan'nei'mo'jie'he 支气管内膜结核
'zhi'qi'guan'nian'mo'xian'wei'zu'zhi'zeng'sheng 支气管黏膜纤维组织增生
'zhi'qi'guan'nian'ye'biao'pi'yang'ai 支气管黏液表皮样癌
'zhi'qi'guan'nian'zhu'jun'gan'ran'bing 支气管念珠菌感染病
'zhi'qi'guan'ping'hua'ji'liu 支气管平滑肌瘤
'zhi'qi'guan'ru'tou'zhuang'liu 支气管乳头状瘤
'zhi'qi'guan'ruan'gu'ji'fa'e'xing'zhong'liu 支气管软骨继发恶性肿瘤
'zhi'qi'guan'ruan'gu'liu 支气管软骨瘤
'zhi'qi'guan'wei'jie'chang'lou 支气管胃结肠瘘
'zhi'qi'guan'wei'lou 支气管胃瘘
'zhi'qi'guan'xi'rou 支气管息肉
'zhi'qi'guan'xia'zhai 支气管狭窄
'zhi'qi'guan'xian'liu 支气管腺瘤
'zhi'qi'guan'xian'yang'nang'xing'ai 支气管腺样囊性癌
'zhi'qi'guan'xiao'chuan 支气管哮喘
'zhi'qi'guan'xiao'chuan'('bu'fen'kong'zhi') 支气管哮喘(部分控制)
'zhi'qi'guan'xiao'chuan'('jian'xie'fa'zuo') 支气管哮喘(间歇发作)
'zhi'qi'guan'xiao'chuan'('man'xing'chi'xu'qi') 支气管哮喘(慢性持续期)
'zhi'qi'guan'xiao'chuan'('zhong'du'chi'xu') 支气管哮喘(中度持续)
'zhi'qi'guan'xiao'chuan'('zhong'du'chi'xu') 支气管哮喘(重度持续)
'zhi'qi'guan'xiao'chuan'ji'xing'fa'zuo'('qing'du') 支气管哮喘急性发作(轻度)
'zhi'qi'guan'xiao'chuan'ji'xing'fa'zuo'('wei'zhong') 支气管哮喘急性发作(危重)
'zhi'qi'guan'xiao'chuan'ji'xing'fa'zuo'('zhong'du') 支气管哮喘急性发作(中度)
'zhi'qi'guan'xiao'chuan'ji'xing'fa'zuo'('zhong'du') 支气管哮喘急性发作(重度)
'zhi'qi'guan'xiao'chuan'ji'xing'fa'zuo'qi 支气管哮喘急性发作期
'zhi'qi'guan'xiao'chuan'man'xing'chi'xu'qi 支气管哮喘慢性持续期
'zhi'qi'guan'xiao'chuan'man'xing'zu'se'xing'fei'ji'bing'zhong'die 支气管哮喘慢性阻塞性肺疾病重叠
'zhi'qi'guan'xin'sheng'wu 支气管新生物
'zhi'qi'guan'xiong'mo'lou 支气管胸膜瘘
'zhi'qi'guan'yan 支气管炎
'zhi'qi'guan'yan'xing'zhong'wu 支气管炎性肿物
'zhi'qi'guan'yi'wu 支气管异物
'zhi'qi'guan'yuan'wei'ai 支气管原位癌
'zhi'qi'guan'zhen'jun'gan'ran 支气管真菌感染
'zhi'qi'guan'zhi'fang'liu 支气管脂肪瘤
'zhi'qi'guan'zhong'xin'xing'rou'ya'zhong'bing 支气管中心性肉芽肿病
'zhi'yuan'ti'fei'yan 支原体肺炎
'zhi'fang'shuan'se'zong'he'zheng 脂肪栓塞综合征
'zhi'ye'xing'xiao'chuan 职业性哮喘
'zhi'xian'wei'hua'fei'pao'yan 致纤维化肺泡炎
'zhi'guan'xiang'guan'xing'gan'ran 置管相关性感染
'zhong'du'gao'tan'suan'xue'zheng 中度高碳酸血症
'zhong'du'shui'mian'hu'xi'zan'ting'di'tong'qi'zong'he'zheng 中度睡眠呼吸暂停低通气综合征
'zhong'du'tong'qi'gong'neng'zhang'ai 中度通气功能障碍
'zhong'du'xi'yan 中度吸烟
'zhong'du'xian'zhi'xing'tong'qi'gong'neng'zhang'ai 中度限制性通气功能障碍
'zhong'du'zu'se'xing'tong'qi'gong'neng'zhang'ai 中度阻塞性通气功能障碍
'zhong'shu'shen'jing'xi'tong'chang'yuan'xing'nang'zhong 中枢神经系统肠源性囊肿
'zhong'shu'xing'di'tong'qi'zong'he'zheng 中枢性低通气综合征
'zhong'shu'xing'fei'pao'di'tong'qi'zong'he'zheng 中枢性肺泡低通气综合征
'zhong'shu'xing'pi'lao 中枢性疲劳
'zhong'shu'xing'shui'mian'hu'xi'zan'ting'zong'he'zheng 中枢性睡眠呼吸暂停综合征
'zhong'xin'ye'xing'fei'qi'zhong 中心叶性肺气肿
'zhong'yang'xing'fei'ai 中央型肺癌
'zhong'liu'biao'ji'wu'sheng'gao 肿瘤标记物升高
'zhong'du'xing'fei'yan 中毒性肺炎
'zhong'du'di'bai'dan'bai'xue'zheng 重度低白蛋白血症
'zhong'du'di'dan'bai'xue'zheng 重度低蛋白血症
'zhong'du'gao'tan'suan'xue'zheng 重度高碳酸血症
'zhong'du'ji'xing'hu'xi'jiong'po'zong'he'zheng 重度急性呼吸窘迫综合征
'zhong'du'man'xing'zu'se'xing'fei'ji'bing'ji'xing'jia'zhong'qi 重度慢性阻塞性肺疾病急性加重期
'zhong'du'nong'du'zheng 重度脓毒症
'zhong'du'shui'mian'hu'xi'zan'ting'di'tong'qi'zong'he'zheng 重度睡眠呼吸暂停低通气综合征
'zhong'du'tong'qi'gong'neng'zhang'ai 重度通气功能障碍
'zhong'du'xi'yan 重度吸烟
'zhong'du'xian'zhi'xing'tong'qi'gong'neng'zhang'ai 重度限制性通气功能障碍
'zhong'du'zu'se'xing'shui'mian'hu'xi'zan'ting'di'tong'qi'zong'he'zheng 重度阻塞型睡眠呼吸暂停低通气综合征
'zhong'du'zu'se'xing'tong'qi'gong'neng'zhang'ai 重度阻塞性通气功能障碍
'zhong'zheng'bing'du'xing'fei'yan 重症病毒性肺炎
'zhong'zheng'fei'bao'zi'jun'fei'yan 重症肺孢子菌肺炎
'zhong'zheng'fei'yan 重症肺炎
'zhong'zheng'jia'liu'fei'yan 重症甲流肺炎
'zhong'zheng'ju'xi'bao'bing'du'fei'yan 重症巨细胞病毒肺炎
'zhong'zheng'liu'gan 重症流感
'zhong'zheng'liu'gan'fei'yan 重症流感肺炎
'zhong'zheng'mao'xi'zhi'qi'guan'yan 重症毛细支气管炎
'zhong'zheng'she'qu'huo'de'xing'fei'yan 重症社区获得性肺炎
'zhong'zheng'xian'bing'du'xing'fei'yan 重症腺病毒性肺炎
'zhong'zheng'xiao'chuan 重症哮喘
'zhong'zheng'yi'xing'liu'gan 重症乙型流感
'zhou'qi'xing'shi'shui 周期性嗜睡
'zhou'wei'xing'fei'ai 周围型肺癌
'zhu'dong'xi'yan 主动吸烟
'zhu'zhi'qi'guan'liang'xing'zhong'liu 主支气管良性肿瘤
'zhu'zhi'qi'guan'pang'liang'xing'zhong'liu 主支气管旁良性肿瘤
'zhu'xing'zhi'qi'guan'kuo'zhang 柱型支气管扩张
'zhu'gong'chen'fei 铸工尘肺
'zhuan'yi'xing'di'jia'xue'zheng 转移性低钾血症
'zhuan'yi'xing'di'na'xue'zheng 转移性低钠血症
'zhuan'yi'xing'gao'jia'xue'zheng 转移性高钾血症
'ai'qi 嗳气
'ao'xian'xing'shui'zhong 凹陷性水肿
'bai'se'pao'mo'yang'tan 白色泡沫样痰
'bao'lie'yin 爆裂音
'bi'sai 鼻塞
'bian'ping'xiong 扁平胸
'bie'qi 憋气
'chao'shi'hu'xi 潮式呼吸
'chi'lun'hu'xi'yin 齿轮呼吸音
'cu'shi'hui'yin 粗湿哕音
'da'liang'ka'xie 大量咯血
'da'liang'xi'shui'yang'tan 大量稀水样痰
'da'liang'bai'se'pao'mo'yang'tan 大量白色泡沫样痰
'da'liang'fen'hong'se'pao'mo'yang'tan 大量粉红色泡沫样痰
'dao'han 盗汗
'dou'dao 窦道
'di'diao'gan'yue'yin 低调干哕音
'duan'zuo'hu'xi 端坐呼吸
'er'yu'yin'zeng'qiang 耳语音增强
'fa'gan 发绀
'fang'she'tong 放射痛
'fa'yin'kun'nan 发音困难
'fan'chang'hu'xi 反常呼吸
'fei'ao'xian'xing'shui'zhong 非凹陷性水肿
'fei'bu'zhang 肺不张
'fei'pao'hu'xi'yin 肺泡呼吸音
'fei'xing'fa'gan 肺性发绀
'fei'yuan'xing'hu'xi'kun'nan 肺源性呼吸困难
'zhui'ji'xing'fei'bu'zhang 坠积性肺不张
'zhui'ji'xing'fei'yan 坠积性肺炎
'zi'fa'xing'qi'xiong 自发性气胸
'zong'ge'e'xing'zhong'liu 纵隔恶性肿瘤
'zong'ge'ji'tai'liu 纵隔畸胎瘤
'zong'ge'ji'fa'e'xing'zhong'liu 纵隔继发恶性肿瘤
'zong'ge'jiao'jie'xing'zhong'liu 纵隔交界性肿瘤
'zong'ge'jie'he'liu 纵隔结核瘤
'zong'ge'lin'ba'guan'liu 纵隔淋巴管瘤
'zong'ge'lin'ba'jie'ji'fa'e'xing'zhong'liu 纵隔淋巴结继发恶性肿瘤
'zong'ge'lin'ba'jie'jie'he 纵隔淋巴结结核
'zong'ge'xue'guan'liu 纵隔血管瘤
'zong'ge'yin'ying 纵隔阴影
'zong'ge'zhi'fang'liu 纵隔脂肪瘤
'zu'se'xing'fei'bu'zhang 阻塞性肺不张
'zu'se'xing'qi'guan'zhi'qi'guan'qu'mei'bing 阻塞性气管支气管曲霉病
'zu'se'xing'tong'qi'gong'neng'zhang'ai 阻塞性通气功能障碍
'zu'zhi'xing'que'yang 组织性缺氧
'zuo'fei'e'xing'zhong'liu 左肺恶性肿瘤
'zuo'fei'shang'ye'e'xing'zhong'liu 左肺上叶恶性肿瘤
'zuo'fei'xia'ye'e'xing'zhong'liu 左肺下叶恶性肿瘤
'zuo'xin'ji'bing'xiang'guan'xing'fei'dong'mai'gao'ya 左心疾病相关性肺动脉高压
'zuo'zhu'zhi'qi'guan'e'xing'zhong'liu 左主支气管恶性肿瘤
'fen'hong'se'pao'mo'yang'tan 粉红色泡沫样痰
'fu'jia'yin 附加音
'fu'shi'hu'xi 腹式呼吸
'gan'yue'yin 干哕音
'gan'xing'ke'sou 干性咳嗽
'gao'diao'gan'yue'yin 高调干哕音
'ka'xie 咯血
'gou'lou'bing'xiong 佝偻病胸
'gu'yin 鼓音
'guo'qing'yin 过清音
'ke'sou 咳嗽
'ke'tan 咳痰
'hu'qi'xing'hu'xi'kun'nan 呼气性呼吸困难
'hu'xi'duan'cu 呼吸短促
'hu'xi'guo'huan 呼吸过缓
'hu'xi'ji'cu 呼吸急促
'hu'xi'jian'man 呼吸减慢
'hu'xi'jie'lv 呼吸节律
'hu'xi'kun'nan 呼吸困难
'hu'xi'pin'lv 呼吸频率
'hu'xi'yin 呼吸音
'hu'xi'yun'dong 呼吸运动
'hu'xi'zeng'qiang 呼吸增强
'hu'fu'zheng 胡佛征
'hun'he'xing'fa'gan 混合性发绀
'hun'he'xing'hu'xi'kun'nan 混合性呼吸困难
'ji'xiong 鸡胸
'ji'zhu'ce'tu 脊柱侧凸
'ji'zhu'hou'tu 脊柱后凸
'ji'zhu'qian'tu 脊柱前凸
'li'le'bu'shi 李肋不适
'li'le'qu'teng 李肋区疼
'jian'ting'hu'xi 间停呼吸
'jin'shu'yin'diao'ke'sou 金属音调咳嗽
'ju'xian'xing'shui'zhong 局限性水肿
'kong'weng'yin 空瓮音
'le'ge'gou 肋膈沟
'lei'gu'chuan'zhu 肋骨串珠
'lou'chu'xing'xiong'qiang'ji'ye 漏出性胸腔积液
'lou'dou'xiong 漏斗胸
'luo'yin 啰音
'man'xing'qi'dao'yan'zheng 慢性气道炎症
'nian'ye'nong'xing'tan 黏液脓性痰
'nian'ye'xing'tan 黏液性痰
'nian'fa'yin 捻发音
'nong'tan 脓痰
'pi'xia'qi'zhong 皮下气肿
'qi'cu 气促
'qi'guan'chu'xue 气管出血
'qi'guan'zhi'qi'guan'gai'hua 气管支气管钙化
'qian'la'xing'zhi'qi'guan'kuo'zhang 牵拉性支气管扩张
'qiang'ke 呛咳
'qing'du'shui'zhong 轻度水肿
'qing'yin 清音
'quan'shen'xing'shui'zhong 全身性水肿
'que'xue'xing'zhou'wei'xing'fa'gan 缺血性周围性发绀
'san'zheng 三征
'shen'jing'xing'hu'xi'kun'nan 神经性呼吸困难
'shi'luo'yin 湿啰音
'shi'xing'ke'jiao 湿性咳噭
'shi'yin 实音
'shuang'xi'qi 双吸气
'shui'zhong 水肿
'suan'zhong'du'da'hu'xi 酸中毒大呼吸
'sui'yi'hu'xi 随意呼吸
'suo'chun'hu'qi 缩唇呼气
'tan'qi'yang'hu'xi 叹气样呼吸
'tie'xiu'se'tan 铁锈色痰
'tong'zhuang'xiong 桶状胸
'xi'qi'xing'chuan'ming 吸气性喘鸣
'xi'qi'xing'hu'xi'kun'nan 吸气性呼吸困难
'xi'yan 吸烟
'xi'shi'luo'yin 细湿啰音
'xiao'liang'ka'xie 小量咯血
'T'guan'che'ji'fa T管撤机法
'an'xu'fa'song'qi 按需阀送气
'ba'xiang'zhi'liao 靶向治疗
'bi'huan'tong'qi 闭环通气
'biao'mian'huo'xing'wu'zhi'xi'ru'liao'fa 表面活性物质吸入疗法
'bu'fen'chang'wai'ying'yang 部分肠外营养
'bu'fen'ye'ti'tong'qi 部分液体通气
'ce'chen'wei'tong'qi 侧臣位通气
'xiao'ming 哮鸣
'xin'yin'xing'ke'sou 心因性咳嗽
'xin'yuan'xing'fa'gan 心源性发绀
'xin'yuan'xing'hu'xi'kun'nan 心源性呼吸困难
'xiong'fu'mao'dun'hu'xi 胸腹矛盾呼吸
'xiong'kuo'ji'xing 胸廓畸形
'xiong'kuo'kuo'zhang'du 胸廓扩张度
'xiong'men 胸闷
'xiong'mo'mo'ca'gan 胸膜摩擦感
'xiong'mo'mo'ca'yin 胸膜摩擦音
'xiong'qiang'gu'yin 胸腔鼓音
'xiong'qiang'yi'chang'qiao'ji'yin 胸腔异常敲击音
'xiong'shi'hu'xi 胸式呼吸
'xiong'tong 胸痛
'xiong'yu'yin 胸语音
'xue'xing'tan 血性痰
'xue'ya 血压
'yang'ming'yin 羊鸣音
'ye'jian'zhen'fa'xing'hu'xi'kun'nan 夜间阵发性呼吸困难
'ye'ben'lin'ba'jie'zhong'da 腋贲淋巴结肿大
'yi'chang'fei'pao'hu'xi'yin 异常肺泡呼吸音
'yi'chang'hu'xi'yin 异常呼吸音
'yi'chang'zhi'qi'guan'fei'pao'hu'xi'yin 异常支气管肺泡呼吸音
'yi'chang'zhi'qi'guan'hu'xi'yin 异常支气管呼吸音
'yi'zhi'xing'hu'xi 抑制性呼吸
'yin'xing'shui'zhong 隐性水肿
'ying'bi'zheng 硬币征
'you'xiao'ke'sou 有效咳嗽
'yu'xue'xing'zhou'wei'xing'fa'gan 淤血性周围性发绀
'yu'yin'gong'zhen 语音共振
'yu'yin'zhen'e 语音震额
'zheng'chang'hu'xi'yin 正常呼吸音
'zheng'chang'hu'xi'yun'dong 正常呼吸运动
'zhi'qi'guan'fei'pao'hu'xi'yin 支气管肺泡呼吸音
'zhi'qi'guan'hu'xi'yin 支气管呼吸音
'zhi'qi'guan'yu'yin 支气管语音
'zhong'deng'liang'ka'xie 中等量咯血
'zhong'du'shui'zhong 中度水肿
'zhong'shi'luo'yin 中湿啰音
'zhong'xin'xing'fa'gan 中心性发绀
'zhong'du'xing'hu'xi'kun'nan 中毒性呼吸困难
'zhong'du'lou'dou'xiong 重度漏斗胸
'zhong'du'shui'zhong 重度水肿
'zhou'wei'xing'fa'gan 周围性发绀
'zhuo'yin 浊音
'zi'zhu'hu'xi'pin'lv 自主呼吸频率
'chang'cheng'yang'liao 长程氧疗
'chang'nei'ying'yang 肠内营养
'chang'wai'ying'yang 肠外营养
'chang'gui'chao'qi'liang 常规潮气量
'chang'gui'chao'qi'rong'ji'ji'xie'tong'qi 常规潮气容积机械通气
'chang'gui'ji'xie'tong'qi 常规机械通气
'chao'sheng'nei'jing'xia'jing'zhi'qi'guan'zhen'xi'huo'jian 超声内镜下经支气管针吸活检
'chao'sheng'yin'dao'xia'jing'pi'fei'chuan'ci 超声引导下经皮肺穿刺
'chao'sheng'yin'dao'xia'xiong'qiang'chuan'ci 超声引导下胸腔穿刺
'chao'sheng'yin'dao'xia'xiong'qiang'chuan'ci'zhi'guan'shu 超声引导下胸腔穿刺置管术
'che'ji 撤机
'sa'ji'fang'fa 撒机方法
'cheng'bi'li'tong'qi 成比例通气
'chi'xu'di'liu'liang'yang'liao 持续低流量氧疗
'chi'xu'qi'dao'zheng'ya'tong'qi 持续气道正压通气
'chi'xu'fu'ya'tong'qi 持续负压通气
'chi'xu'qi'liu'song'qi 持续气流送气
'chi'xu'zheng'ya'tong'qi 持续正压通气
'chi'xu'zhi'ling'tong'qi 持续指令通气
'chuang'bian'qi'guan'qie'kai'shu 床边气管切开术
'chuang'pang'qi'guan'cha'guan 床旁气管插管
'ci'fu'fa'song'qi 伺服阀送气
'da'chao'qi'liang 大潮气量
'da'chao'qi'liang'ji'xie'tong'qi 大潮气量机械通气
'dai'xie'tiao'li 代谢调理
'dan'chun'chao'lv 单纯超滤
'dai'xie'zhi'chi 代谢支持
'di'liu'liang'yang'liao 低流量氧疗
'di'nong'du'yang'liao 低浓度氧疗
'di'shui'ping'hu'qi'mo'zheng'ya 低水平呼气末正压
'dian'zi'qi'guan'jing'jian'cha 电子气管镜检查
'ding'rong'xing'fan'bi'tong'qi 定容型反比通气
'ding'rong'xing'mo'shi 定容型模式
'ding'shi'chu'fa 定时触发
'ding'ya'tong'qi 定压通气
'ding'ya'xing'chi'xu'zhi'ling'tong'qi 定压型持续指令通气
'ding'ya'xing'fan'bi'tong'qi 定压型反比通气
'ding'ya'xing'mo'shi 定压型模式
'ding'ya'xing'tong'bu'chi'xu'zhi'ling'tong'qi 定压型同步持续指令通气
'duan'cheng'yang'liao 短程氧疗
'fang'she'zhi'liao 放射治疗
'fan'bi'tong'qi 反比通气
'fei'ai'de'hua'xue'zhi'liao 肺癌的化学治疗
'fei'ai'de'zhi'liao 肺癌的治疗
'fei'bao'hu'xing'tong'qi'ce'lve 肺保护性通气策略
'fei'bu'zhong'wu'qie'chu'shu 肺部肿物切除术
'fei'fu'zhang'fang'fa 肺复张方法
'fei'huo'jian 肺活检
'fei'jian'rong'shu 肺减容术
'fei'kai'fang'ce'lve 肺开放策略
'fei'kang'fu 肺康复
'fei'pao'yin'liu 肺泡引流
'fei'yi'zhi 肺移植
'fen'ce'fei'tong'qi 分侧肺通气
'fu'wo'wei'tong'qi 俯卧位通气
'fu'zhu'kong'zhi'tong'qi 辅助-控制通气
'fu'zhu'tong'qi 辅助通气
'fu'zhu'xing'hua'liao 辅助性化疗
'fen'qi'xing'shou'shu 分期性手术
'fu'ya'tong'qi 负压通气
'fu'he'zhuan'huan 复合转换
'gai'shan'zu'zhi'gong'yang 改善组织供氧
'gao'nong'du'yang'liao 高浓度氧疗
'gao'liu'liang'yang'liao 高流量氧疗
'gao'pin'dian'liao'fa 高频电疗法
'gao'pin'hu'xi'ji 高频呼吸机
'gao'pin'pen'she'hu'xi'ji 高频喷射呼吸机
'gao'pin'pen'she'tong'qi 高频喷射通气
